"id";"incept";"src";"description";"contextual";"inside";"window";"more_than_one_sign";"lat";"lng";"island";"city";"neighborhood";"street";"language_typology";"languages";"landmarks";"producer";"type";"transcription";"is_duplicate";"rhizome"
"53";"2017-03-27";"better homes poster.jpg";"better homes poster ";"0";"0";"0";"0";"21.394388888888887";"-157.74345277777778";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"better homes poster ";"0";"0"
"54";"2017-03-27";"betty x joe.jpg";"betty x joe";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Uluniu St";"1";"Eng";;"bus";"con";"shop name betty x joe";"0";"0"
"55";"2017-03-07";"bicycle shop.jpg";"bicycle shop";"1";"1";"0";"0";"21.394644444444445";"-157.7448722222222";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Eng";;;;;"0";"0"
"56";"2017-03-25";"bicycle whole foods bike parking.jpg";"bicycle whole foods bike parking";"1";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"bicycle whole foods bike parking";"0";"0"
"57";"2017-03-25";"bicycle whole foods.jpg";"bicycle whole foods";"1";"0";"0";"0";"21.39393888888889";"-157.74220277777778";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"bicycle whole foods";"0";"0"
"58";"2017-04-01";"big city dinner English menu front page.jpg";"big city dinner English menu front page";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Hamakua Rd";"1";"Eng";;"bus";"con";"big city dinner English menu front page";"0";"0"
"59";"2017-04-01";"Big city dinner English menu.jpg";"Big city dinner English menu";"0";"1";"0";"0";"21.392544444444443";"-157.7440638888889";"Oahu";"Kailua";"Kailua";"Hamakua Rd";"1";"Eng";;"bus";"con";"Big city dinner English menu";"0";"0"
"60";"2017-04-01";"big city dinner inside1.jpg";"big city dinner inside1 ";"1";"0";"0";"0";"21.39258611111111";"-157.74426388888887";"Oahu";"Kailua";"Kailua";"Hamakua Rd";"1";"Eng";;;;"big city dinner inside1 ";"0";"0"
"61";"2017-04-01";"Big city dinner Japanese menu inside.jpg";"Big city dinner Japanese menu inside";"0";"1";"0";"0";"21.39253888888889";"-157.744125";"Oahu";"Kailua";"Kailua";"Hamakua Rd";"2";"Jp, Eng";;"bus";"con";"Big city dinner Japanese menu inside";"0";"0"
"62";"2017-04-01";"big city Japanese menu.jpg";"big city Japanese menu";"0";"0";"1";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Hamakua Rd";"2";"Jp, Eng";;"bus";"con";"big city Japanese menu";"0";"0"
"63";"2017-04-01";"bigcity localicious.jpg";"bigcity localicious";"0";"0";"0";"0";"21.392580555555554";"-157.74398888888888";"Oahu";"Kailua";"Kailua";"Hamakua Rd";"1";"Eng";;"bus";"con";;"0";"0"
"64";"2017-04-01";"bike lane.jpg";"bike lane";"1";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;;;"bike lane";"0";"0"
"65";"2017-03-25";"bike parking whole foods.jpg";"bike parking whole foods ";"1";"0";"0";"0";"21.393852777777777";"-157.742325";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;;;"bike parking whole foods ";"0";"0"
"66";"2016-10-28";"bike rental shop Pedego Kailua_Oahu.jpg";"bike rental shop Pedego Kailua_Oahu";"0";"0";"0";"0";"21.39292222222222";"-157.74041666666665";"Oahu";"Kailua";"Kailua ";"Hahani St";"2";"Eng,Jp";;"bus";"cont";"signboard";"0";"0"
"67";"2016-10-28";"Bike rentals Jp sign Kailua_Oahu.jpg";"Bike rentals Jp sign Kailua_Oahu";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Hahani St";"2";"Jp, Eng";;"bus";;;"0";"0"
"68";"2016-10-28";"Bike rentals Kailua Ocean Adventures.jpg";"Bike rentals Kailua Ocean Adventures";"0";"0";"0";"0";"21.391997222222223";"-157.74113333333332";"Oahu";"Kailua";"Kailua";"Hahani St";"2";"Eng, Jp";;"bus";"cont";"bike rentals";"0";"0"
"69";"2016-10-28";"Bike rentals Kailua_Oahu_skirts.jpg";"Bike rentals Kailua_Oahu_skirts";"0";"0";"0";"0";"21.392002777777776";"-157.74113333333332";"Oahu";"Kailua";"Kailua";"Hahani St";"1";"Jp";;"bus";"cont";"info sheet for skirt tying";"0";"0"
"70";"2017-03-25";"bike shop in the morning.jpg";"bike shop in the morning";"1";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;;;"bike shop in the morning";"0";"0"
"71";"2017-03-27";"bike shop operation hour.jpg";"bike shop operation hour";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"bike shop operation hour";"0";"0"
"72";"2017-03-25";"bikinibird.jpg";"bikinibird";"0";"0";"0";"0";"21.392452777777777";"-157.74282777777776";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"bikinibird";"0";"0"
"73";"2017-03-25";"bite poster maui tacos.jpg";"bite poster maui tacos";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";;"bite poster maui tacos";"0";"0"
"74";"2017-02-03";"Bkrobbins door.jpg";"Bkrobbins door";"0";"0";"0";"0";"21.392794444444444";"-157.7436222222222";"Oahu";"Kailua ";"Kailua";"Hamakua Rd";"1";"Eng";;"bus";"cont";"Bkrobbins door";"0";"0"
"75";"2017-03-25";"black boad bee and tea.jpg";"black boad bee and tea";"0";"1";"0";"0";"21.392305555555556";"-157.74243055555553";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"black boad bee and tea";"0";"0"
"76";"2017-03-27";"black boad big island growers madre chocolate.jpg";"black boad big island growers madre chocolate";"1";"1";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kainehe St";"1";"Eng";;;;"black boad big island growers madre chocolate";"0";"0"
"77";"2017-02-03";"black board big city.jpg";"black board big city";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hamakua Rd";"1";"Eng";;"bus";"cont";"black board big city";"0";"0"
"78";"2017-03-07";"blue lani mat.jpg";"blue lani mat ";"0";"0";"0";"0";"21.39483611111111";"-157.74485833333333";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Eng";;"bus";"cont";"Oneawa St";"0";"0"
